"User_Id","Min_Aft","Min_Eve","Min_Mid","Buy_Coin","Buy_Dia","Buy_Car"
"brw7pP2OoK",5,15,167,0,1054,24
"8KkEA4dX0p",3,9,137,0,623,43
"8KkEA4dX0p",6,14,115,0,600,33
"8KkEA4dX0p",4,14,123,0,570,24
"8KkEA4dX0p",4,16,120,0,809,18
"8KkEA4dX0p",4,9,156,0,575,0
"lRgfHbt8zt",6,11,88,0,360,18
"lRgfHbt8zt",5,10,40,0,463,26
"lRgfHbt8zt",6,16,114,0,506,32
"lRgfHbt8zt",5,11,121,0,502,27
"lRgfHbt8zt",8,11,131,0,639,33
"IckPdB6FE6",6,13,81,0,558,0
"IckPdB6FE6",5,13,97,0,490,0
"IckPdB6FE6",5,14,90,0,438,29
"IckPdB6FE6",6,10,127,0,437,28
"IckPdB6FE6",3,17,101,0,477,15
"9wLAsZ5EKG",4,10,133,0,520,32
"9wLAsZ5EKG",5,11,109,30,385,22
"9wLAsZ5EKG",5,13,68,0,485,27
"9wLAsZ5EKG",7,12,77,0,669,36
"9wLAsZ5EKG",5,6,83,0,465,39
"XgFDF5oGHE",7,11,121,0,865,26
"XgFDF5oGHE",4,15,96,0,624,39
"XgFDF5oGHE",6,10,104,0,709,27
"XgFDF5oGHE",7,14,124,0,567,26
"XgFDF5oGHE",5,12,116,0,523,38
"dwjCTApPZv",8,12,80,0,791,28
"dwjCTApPZv",5,13,130,0,777,20
"dwjCTApPZv",5,11,97,0,568,16
"dwjCTApPZv",6,12,145,0,677,36
"dwjCTApPZv",7,11,90,0,236,29
"SzzHlseEnG",6,12,58,0,720,27
"SzzHlseEnG",6,12,100,0,475,26
"SzzHlseEnG",5,13,129,0,725,21
"SzzHlseEnG",4,14,76,0,529,23
"SzzHlseEnG",4,14,123,0,532,35
"BxvoxD9fSa",5,9,139,0,440,25
"BxvoxD9fSa",6,13,182,0,822,32
"BxvoxD9fSa",5,10,187,0,388,35
"BxvoxD9fSa",6,10,158,0,662,31
"BxvoxD9fSa",6,10,140,0,514,21
"doQQL37X6a",5,12,165,0,320,24
"doQQL37X6a",5,13,104,0,607,27
"doQQL37X6a",5,14,47,0,609,22
"doQQL37X6a",4,10,150,0,661,0
"doQQL37X6a",6,14,139,30,484,32
"p3tie44qjV",5,15,140,0,642,0
"p3tie44qjV",6,18,140,0,929,35
"p3tie44qjV",5,13,47,0,441,34
"p3tie44qjV",9,17,134,0,720,24
"p3tie44qjV",4,10,115,0,530,26
"dVOCUU8pRE",6,6,119,0,679,34
"dVOCUU8pRE",8,14,136,0,984,26
"dVOCUU8pRE",4,15,131,0,656,22
"dVOCUU8pRE",7,16,102,0,723,37
"dVOCUU8pRE",7,8,102,10,990,36
"MxoL8feeiK",5,10,145,0,574,0
"MxoL8feeiK",6,13,166,0,455,40
"MxoL8feeiK",6,12,91,0,592,24
"MxoL8feeiK",5,12,117,0,596,18
"MxoL8feeiK",6,9,123,0,292,22
"TEExGBvY6R",6,7,72,0,493,0
"TEExGBvY6R",3,18,90,0,731,0
"TEExGBvY6R",5,14,168,0,594,27
"TEExGBvY6R",6,12,48,0,456,35
"TEExGBvY6R",4,12,73,0,736,0
"S18a3KUkEp",5,14,128,30,685,33
"S18a3KUkEp",6,14,74,0,548,0
"S18a3KUkEp",7,15,72,0,686,32
"S18a3KUkEp",5,16,103,0,681,33
"S18a3KUkEp",4,11,158,0,689,41
"rKZpAiufgw",3,10,116,0,359,26
"rKZpAiufgw",4,13,73,0,682,34
"rKZpAiufgw",4,10,172,0,787,23
"rKZpAiufgw",2,5,113,0,570,0
"rKZpAiufgw",6,11,119,10,481,23
"CIHZn8Rebp",7,18,128,0,564,45
"CIHZn8Rebp",5,13,116,0,508,36
"CIHZn8Rebp",5,15,120,10,436,30
"CIHZn8Rebp",5,10,122,0,750,30
"CIHZn8Rebp",5,13,136,0,377,30
"oJrQVc5Drt",4,13,154,0,807,0
"oJrQVc5Drt",4,8,71,0,574,34
"oJrQVc5Drt",6,16,144,0,573,28
"oJrQVc5Drt",4,12,143,0,613,28
"oJrQVc5Drt",5,9,91,0,625,24
"ESQ4XhcaoK",5,8,21,0,670,40
"ESQ4XhcaoK",6,11,79,0,528,28
"ESQ4XhcaoK",7,10,171,0,318,34
"ESQ4XhcaoK",7,13,104,0,788,24
"ESQ4XhcaoK",6,12,141,0,524,26
"2COuqFBeor",6,11,93,0,731,0
"2COuqFBeor",5,10,59,0,884,27
"2COuqFBeor",6,15,112,0,862,38
"2COuqFBeor",5,12,139,0,604,31
"2COuqFBeor",5,13,144,10,690,26
"uyFseFNIIp",6,13,178,0,612,23
"uyFseFNIIp",6,15,164,0,782,30
"uyFseFNIIp",3,12,113,0,496,28
"uyFseFNIIp",4,19,125,0,696,0
"uyFseFNIIp",5,20,161,0,511,23
"kTff19uNaL",6,6,155,0,545,35
"kTff19uNaL",5,13,47,0,594,26
"kTff19uNaL",3,12,149,0,470,24
"kTff19uNaL",6,13,77,0,641,30
"kTff19uNaL",7,15,47,0,687,34
"GCIcSdLDH4",7,9,111,0,724,24
"GCIcSdLDH4",5,12,49,0,371,32
"GCIcSdLDH4",3,14,59,0,779,29
"GCIcSdLDH4",8,16,94,0,526,36
"GCIcSdLDH4",5,13,149,0,603,23
"jE3Ar0LCAl",7,16,78,0,592,35
"jE3Ar0LCAl",4,16,92,0,319,19
"jE3Ar0LCAl",6,14,75,0,648,34
"jE3Ar0LCAl",6,12,163,0,659,24
"jE3Ar0LCAl",4,11,121,0,615,32
"B83gG1Lnmx",4,10,117,0,553,37
"B83gG1Lnmx",5,13,65,0,537,0
"B83gG1Lnmx",4,12,86,0,671,0
"B83gG1Lnmx",5,11,134,0,501,30
"B83gG1Lnmx",4,9,126,0,557,27
"X4IzPEKIgL",4,12,101,0,658,15
"X4IzPEKIgL",5,14,131,0,667,32
"X4IzPEKIgL",5,14,86,0,431,24
"X4IzPEKIgL",7,15,67,0,737,29
"X4IzPEKIgL",8,11,128,0,518,28
"VCA3TdAqcR",4,9,136,0,752,24
"VCA3TdAqcR",5,14,86,0,382,51
"VCA3TdAqcR",6,9,151,0,444,30
"VCA3TdAqcR",4,12,119,0,582,0
"VCA3TdAqcR",6,12,116,0,410,28
"TlqfCe4GEP",6,11,93,0,460,0
"TlqfCe4GEP",6,11,140,30,768,27
"TlqfCe4GEP",4,15,145,0,656,31
"TlqfCe4GEP",5,11,100,0,514,28
"TlqfCe4GEP",3,14,153,0,890,31
"I2Negs6MGP",6,12,168,0,462,46
"I2Negs6MGP",6,15,156,0,606,23
"I2Negs6MGP",5,11,161,0,654,31
"I2Negs6MGP",5,13,91,0,225,34
"I2Negs6MGP",5,8,112,10,320,37
"FJk9jCuZf8",7,13,81,0,571,27
"FJk9jCuZf8",4,14,99,0,575,26
"FJk9jCuZf8",4,7,161,0,528,31
"FJk9jCuZf8",7,10,137,30,379,0
"FJk9jCuZf8",8,8,126,0,458,31
"jIM8szdKgp",6,7,162,0,400,25
"jIM8szdKgp",5,7,102,0,701,35
"jIM8szdKgp",5,13,46,0,604,0
"jIM8szdKgp",3,8,160,0,589,0
"jIM8szdKgp",5,8,121,0,787,21
"9Ec6q4qRET",5,12,66,0,461,35
"9Ec6q4qRET",5,15,100,0,487,38
"9Ec6q4qRET",8,7,143,0,163,18
"9Ec6q4qRET",6,13,115,0,659,22
"9Ec6q4qRET",2,8,154,0,532,30
"GK4HAcvTrI",6,13,110,0,274,49
"GK4HAcvTrI",6,15,57,0,756,0
"GK4HAcvTrI",6,14,116,10,479,26
"GK4HAcvTrI",6,9,149,0,465,39
"GK4HAcvTrI",5,13,130,0,949,33
"jS9Qs6vLmA",5,11,79,0,616,32
"jS9Qs6vLmA",5,7,87,0,599,33
"jS9Qs6vLmA",5,10,70,0,580,36
"jS9Qs6vLmA",5,13,169,0,812,0
"jS9Qs6vLmA",3,11,129,0,675,0
"4Okx5lGooK",7,14,74,0,582,30
"4Okx5lGooK",5,10,113,0,323,45
"4Okx5lGooK",6,15,154,0,783,31
"4Okx5lGooK",7,15,122,0,413,39
"4Okx5lGooK",4,13,131,0,770,30
"5QzC6r7xZE",3,12,82,0,617,0
"5QzC6r7xZE",5,13,108,0,810,28
"5QzC6r7xZE",4,11,118,10,554,33
"5QzC6r7xZE",6,14,159,0,768,24
"5QzC6r7xZE",5,14,102,0,786,31
"I9JtVtWUQd",4,12,112,0,556,35
"I9JtVtWUQd",4,9,175,0,328,26
"I9JtVtWUQd",4,13,154,0,563,29
"I9JtVtWUQd",5,10,120,0,277,34
"I9JtVtWUQd",7,15,138,0,528,28
"0np17F1c1Q",6,15,136,0,766,31
"0np17F1c1Q",5,13,146,0,360,41
"0np17F1c1Q",3,15,190,0,609,30
"0np17F1c1Q",5,15,17,0,338,0
"0np17F1c1Q",7,9,102,0,490,35
"TXWx1go0h2",5,13,131,0,514,37
"TXWx1go0h2",5,17,146,0,514,42
"TXWx1go0h2",2,9,107,0,574,35
"TXWx1go0h2",5,12,169,0,549,20
"TXWx1go0h2",6,9,154,0,667,42
"tcwS4lp8sN",6,13,111,30,448,23
"tcwS4lp8sN",5,13,121,30,915,11
"tcwS4lp8sN",4,12,108,0,525,14
"tcwS4lp8sN",4,18,125,0,404,36
"tcwS4lp8sN",7,14,121,0,599,36
"jRfOdzmW6x",3,14,144,0,512,0
"jRfOdzmW6x",5,13,133,30,666,38
"jRfOdzmW6x",5,18,65,0,625,22
"jRfOdzmW6x",4,14,130,30,494,40
"jRfOdzmW6x",5,12,95,0,573,32
"5hF8ZFlgXM",7,14,101,10,406,24
"5hF8ZFlgXM",5,8,101,0,776,0
"5hF8ZFlgXM",4,15,130,30,650,24
"5hF8ZFlgXM",3,13,108,0,584,32
"5hF8ZFlgXM",5,4,85,0,414,43
"P3RVcZdCrR",4,9,126,0,403,39
"P3RVcZdCrR",6,9,199,0,569,0
"P3RVcZdCrR",2,16,107,30,780,36
"P3RVcZdCrR",2,13,142,0,654,0
"P3RVcZdCrR",7,12,111,0,634,23
"tTdhI40WVr",4,12,73,0,601,34
"tTdhI40WVr",5,18,103,0,585,29
"tTdhI40WVr",3,10,125,0,581,23
"tTdhI40WVr",5,13,128,0,708,32
"tTdhI40WVr",4,11,124,0,814,15
"U1bKms8D4f",5,14,164,0,701,32
"U1bKms8D4f",3,9,155,0,628,33
"U1bKms8D4f",6,12,112,0,671,29
"U1bKms8D4f",7,12,104,0,506,0
"U1bKms8D4f",1,19,111,0,707,32
"cb8Y1Z3tH6",6,13,136,0,355,40
"cb8Y1Z3tH6",4,10,180,0,579,32
"cb8Y1Z3tH6",5,10,111,0,596,24
"cb8Y1Z3tH6",6,12,113,0,505,31
"cb8Y1Z3tH6",5,12,136,0,640,31
"akPz75HKbD",3,16,134,0,617,27
"akPz75HKbD",6,13,109,10,627,23
"akPz75HKbD",7,11,94,0,570,32
"akPz75HKbD",6,14,148,0,382,27
"akPz75HKbD",4,19,105,0,472,25
"Edgsnr3Tgo",7,14,160,0,551,0
"Edgsnr3Tgo",3,13,137,0,632,34
"Edgsnr3Tgo",6,9,130,0,545,23
"Edgsnr3Tgo",5,11,184,0,684,29
"Edgsnr3Tgo",5,11,84,0,498,29
"H7rfwFAB9p",6,14,178,0,595,0
"H7rfwFAB9p",6,13,127,0,533,22
"H7rfwFAB9p",6,14,109,0,741,0
"H7rfwFAB9p",4,14,85,0,629,26
"H7rfwFAB9p",3,15,111,10,791,24
"I7nveQKP1j",5,7,74,10,731,48
"I7nveQKP1j",8,15,88,0,405,44
"I7nveQKP1j",5,14,83,0,283,27
"I7nveQKP1j",6,10,75,0,657,0
"I7nveQKP1j",6,18,98,10,614,32
"epHVMZUxtI",5,15,118,0,519,0
"epHVMZUxtI",6,14,112,0,616,32
"epHVMZUxtI",5,9,99,10,712,30
"epHVMZUxtI",9,16,139,0,335,31
"epHVMZUxtI",7,11,113,0,541,17
"SgV4Q7O05F",7,14,98,10,731,29
"SgV4Q7O05F",6,12,103,0,692,26
"SgV4Q7O05F",3,14,180,0,370,35
"SgV4Q7O05F",3,13,135,0,752,20
"SgV4Q7O05F",4,12,87,0,706,36
"PHeZJJdpXR",4,14,191,0,659,38
"PHeZJJdpXR",6,12,91,10,371,0
"PHeZJJdpXR",5,14,122,0,754,37
"PHeZJJdpXR",5,15,104,0,770,46
"PHeZJJdpXR",4,14,145,0,505,34
"SNVOedxfez",6,7,49,0,380,27
"SNVOedxfez",6,14,100,10,611,17
"SNVOedxfez",6,12,157,0,633,28
"SNVOedxfez",6,14,91,0,522,24
"SNVOedxfez",5,13,96,0,823,25
"t1FP8f97P0",4,16,107,0,358,38
"t1FP8f97P0",4,9,83,0,468,0
"t1FP8f97P0",6,11,116,0,616,34
"t1FP8f97P0",6,6,122,0,746,30
"t1FP8f97P0",5,11,32,0,864,21
"IDiuWDFLDg",6,13,168,10,582,27
"IDiuWDFLDg",3,13,74,0,561,0
"IDiuWDFLDg",4,13,106,0,309,22
"IDiuWDFLDg",3,16,85,0,411,29
"IDiuWDFLDg",3,9,160,0,524,39
"ejg6zKxCpB",3,13,86,0,425,34
"ejg6zKxCpB",4,12,119,0,566,42
"ejg6zKxCpB",6,13,170,10,730,43
"ejg6zKxCpB",5,13,150,0,597,35
"ejg6zKxCpB",6,10,158,0,691,32
"2v2EhLGpLk",5,8,107,0,595,19
"2v2EhLGpLk",4,17,78,0,602,0
"2v2EhLGpLk",8,10,127,0,803,0
"2v2EhLGpLk",4,12,184,0,747,0
"2v2EhLGpLk",5,16,91,0,727,32
"4VFfn9HvNL",5,17,136,0,390,36
"4VFfn9HvNL",6,11,131,0,383,26
"4VFfn9HvNL",5,12,114,0,823,34
"4VFfn9HvNL",6,11,73,0,476,34
"4VFfn9HvNL",6,9,144,0,892,23
"BEVJ378uMy",2,14,135,0,694,24
"BEVJ378uMy",5,13,120,0,541,32
"BEVJ378uMy",5,10,126,0,428,32
"BEVJ378uMy",5,15,160,0,745,25
"BEVJ378uMy",6,11,204,10,501,26
"zs8XSoqV79",5,10,77,0,625,30
"zs8XSoqV79",5,7,173,0,746,32
"zs8XSoqV79",6,13,83,0,366,26
"zs8XSoqV79",4,13,87,0,515,37
"zs8XSoqV79",4,7,147,0,641,24
"Il8Lv0oIVk",3,6,114,0,906,28
"Il8Lv0oIVk",6,19,153,0,742,27
"Il8Lv0oIVk",7,14,150,0,583,26
"Il8Lv0oIVk",6,8,133,0,572,18
"Il8Lv0oIVk",4,7,161,0,612,0
"aGw3j8kUdT",2,13,126,0,696,33
"aGw3j8kUdT",5,15,141,0,718,22
"aGw3j8kUdT",5,22,164,0,569,0
"aGw3j8kUdT",6,12,131,0,780,37
"aGw3j8kUdT",3,9,113,0,595,38
"ZRDHKg6ZKS",7,9,120,0,384,29
"ZRDHKg6ZKS",6,17,125,0,730,37
"ZRDHKg6ZKS",6,6,138,0,498,26
"ZRDHKg6ZKS",5,16,154,0,1008,0
"ZRDHKg6ZKS",7,11,129,0,803,35
"FgspBiYPl6",4,11,110,0,556,27
"FgspBiYPl6",5,12,73,0,485,35
"FgspBiYPl6",5,9,100,0,481,0
"FgspBiYPl6",5,12,98,0,637,32
"FgspBiYPl6",5,11,126,0,1043,38
"EYgH8lUVxS",4,14,115,0,668,34
"EYgH8lUVxS",6,13,125,0,625,28
"EYgH8lUVxS",6,10,110,0,717,22
"EYgH8lUVxS",7,10,119,10,506,25
"EYgH8lUVxS",4,14,129,0,620,23
"sOZlWBflMO",3,12,119,0,734,34
"sOZlWBflMO",5,15,100,0,621,30
"sOZlWBflMO",6,11,78,0,442,36
"sOZlWBflMO",6,9,152,10,677,32
"sOZlWBflMO",7,12,90,0,468,32
"1mNTcP2Qja",5,9,129,0,769,38
"1mNTcP2Qja",6,12,145,10,794,34
"1mNTcP2Qja",5,12,153,0,706,23
"1mNTcP2Qja",6,13,116,0,697,28
"1mNTcP2Qja",5,7,133,0,484,0
"psCPlhUrvl",3,11,170,30,450,43
"psCPlhUrvl",6,8,124,0,471,36
"psCPlhUrvl",5,16,109,0,758,34
"psCPlhUrvl",6,15,180,30,595,36
"psCPlhUrvl",5,10,123,0,242,42
"QXt4jies1t",3,10,93,0,478,24
"QXt4jies1t",5,9,102,0,654,42
"QXt4jies1t",5,12,101,0,323,20
"QXt4jies1t",5,8,183,30,734,26
"QXt4jies1t",4,5,99,0,675,31
"OyXGitzImH",4,14,100,0,810,22
"OyXGitzImH",4,12,117,0,697,31
"OyXGitzImH",4,13,98,30,778,16
"OyXGitzImH",4,8,94,0,580,32
"OyXGitzImH",5,17,171,30,751,0
"EmeGPmLlY2",6,10,152,0,572,33
"EmeGPmLlY2",6,16,118,0,644,27
"EmeGPmLlY2",6,13,121,0,334,29
"EmeGPmLlY2",5,11,108,0,598,42
"EmeGPmLlY2",4,11,170,0,580,23
"bbnMIknLiZ",7,13,145,0,675,22
"bbnMIknLiZ",2,11,100,10,628,24
"bbnMIknLiZ",4,12,126,0,791,33
"bbnMIknLiZ",5,10,89,0,894,0
"bbnMIknLiZ",5,9,166,0,670,46
"eV6uvYjskO",5,11,118,0,427,0
"eV6uvYjskO",6,14,51,0,516,36
"eV6uvYjskO",6,13,146,0,391,27
"eV6uvYjskO",4,9,184,0,700,28
"eV6uvYjskO",5,12,115,0,605,35
"3NTxk4940h",7,14,68,0,471,25
"3NTxk4940h",6,8,99,0,533,34
"3NTxk4940h",4,9,160,0,681,25
"3NTxk4940h",4,10,50,0,418,42
"3NTxk4940h",5,16,106,10,761,33
"oJyaWKdtZ4",5,12,71,0,630,18
"oJyaWKdtZ4",5,13,146,0,546,26
"oJyaWKdtZ4",6,9,122,0,487,41
"oJyaWKdtZ4",6,10,74,10,483,25
"oJyaWKdtZ4",3,12,162,0,508,29
"bsEUrdCcBe",5,11,139,0,865,25
"bsEUrdCcBe",6,12,120,0,600,35
"bsEUrdCcBe",4,11,83,0,433,27
"bsEUrdCcBe",5,9,158,0,379,35
"bsEUrdCcBe",5,11,185,0,686,29
"L4H9uTjWsb",4,13,101,0,589,37
"L4H9uTjWsb",7,13,115,0,692,13
"L4H9uTjWsb",5,13,98,0,712,48
"L4H9uTjWsb",5,14,128,0,653,44
"L4H9uTjWsb",6,13,146,0,724,23
"n3oxVGIlML",5,6,162,0,639,21
"n3oxVGIlML",7,13,117,0,666,31
"n3oxVGIlML",7,13,83,30,664,35
"n3oxVGIlML",6,15,157,0,605,20
"n3oxVGIlML",6,9,92,0,692,0
"f5pL71zn6N",7,13,135,0,750,30
"f5pL71zn6N",6,12,125,0,829,38
"f5pL71zn6N",6,14,59,0,655,31
"f5pL71zn6N",5,7,146,0,461,0
"f5pL71zn6N",4,17,108,10,676,30
"8xXbOmWkMe",4,6,156,0,555,28
"8xXbOmWkMe",4,16,123,30,725,38
"8xXbOmWkMe",6,14,122,30,644,30
"8xXbOmWkMe",6,9,131,0,869,27
"8xXbOmWkMe",4,8,87,0,809,33
"60sU9UY07f",5,12,181,0,720,0
"60sU9UY07f",4,15,194,0,427,0
"60sU9UY07f",6,10,97,0,462,34
"60sU9UY07f",4,10,54,0,628,20
"60sU9UY07f",3,15,116,0,599,40
"pmFtCM3Spc",5,14,134,0,572,20
"pmFtCM3Spc",3,14,76,0,634,19
"pmFtCM3Spc",5,11,141,0,764,33
"pmFtCM3Spc",4,14,109,0,622,36
"pmFtCM3Spc",4,14,138,0,650,27
"qpCEuFhN6W",3,11,79,0,426,23
"qpCEuFhN6W",3,12,188,0,441,16
"qpCEuFhN6W",6,14,85,0,397,30
"qpCEuFhN6W",3,10,128,0,594,0
"qpCEuFhN6W",5,10,95,0,800,25
"d3GbVZbOww",4,13,144,0,523,32
"d3GbVZbOww",5,10,106,0,622,25
"d3GbVZbOww",7,11,148,0,629,35
"d3GbVZbOww",6,10,105,0,739,30
"d3GbVZbOww",4,15,56,0,739,40
"xmYi4PXboi",5,12,174,0,401,30
"xmYi4PXboi",6,11,141,0,683,35
"xmYi4PXboi",6,15,107,0,678,44
"xmYi4PXboi",7,11,47,0,463,34
"xmYi4PXboi",5,15,59,0,510,41
"TA5lqQBEXD",5,10,181,0,692,27
"TA5lqQBEXD",6,15,145,0,542,35
"TA5lqQBEXD",3,7,154,0,167,47
"TA5lqQBEXD",4,12,110,0,507,28
"TA5lqQBEXD",6,11,68,0,733,41
"7qZCnv6zwb",4,10,94,0,546,0
"7qZCnv6zwb",6,11,86,0,587,21
"7qZCnv6zwb",4,12,72,0,536,39
"7qZCnv6zwb",4,14,78,0,568,35
"7qZCnv6zwb",6,12,96,0,453,27
"6JWoQxtLWC",3,11,154,0,823,31
"6JWoQxtLWC",4,8,87,0,695,32
"6JWoQxtLWC",5,16,94,30,655,0
"6JWoQxtLWC",7,14,56,0,443,0
"6JWoQxtLWC",2,15,119,10,664,26
"eLVmBkVVyI",4,11,129,0,305,24
"eLVmBkVVyI",3,11,152,0,956,25
"eLVmBkVVyI",5,10,143,30,452,31
"eLVmBkVVyI",4,13,78,0,676,35
"eLVmBkVVyI",7,13,201,0,627,36
"p9wZrufNGo",4,12,92,0,783,42
"p9wZrufNGo",8,12,86,0,533,25
"p9wZrufNGo",6,9,131,0,383,36
"p9wZrufNGo",4,13,213,0,874,0
"p9wZrufNGo",4,17,127,0,714,0
"x579wregn9",5,11,128,0,467,38
"x579wregn9",5,10,99,0,685,31
"x579wregn9",6,14,121,0,504,29
"x579wregn9",6,10,127,0,762,23
"x579wregn9",4,11,126,0,526,25
"9B66VLegT8",3,11,91,0,450,32
"9B66VLegT8",6,14,138,30,723,39
"9B66VLegT8",6,16,171,30,517,43
"9B66VLegT8",5,10,87,0,770,0
"9B66VLegT8",3,9,171,0,667,32
"vd0JLdWQvO",6,13,129,0,775,30
"vd0JLdWQvO",5,13,144,0,571,0
"vd0JLdWQvO",6,12,158,0,456,32
"vd0JLdWQvO",5,14,143,0,493,29
"vd0JLdWQvO",4,10,102,0,519,31
"joXmpKOBOk",4,12,122,0,302,34
"joXmpKOBOk",6,9,109,0,534,24
"joXmpKOBOk",5,10,181,0,586,0
"joXmpKOBOk",6,12,47,0,628,39
"joXmpKOBOk",6,11,65,0,541,30
"n9f8WpEvf2",3,14,162,0,610,26
"n9f8WpEvf2",3,6,123,0,527,40
"n9f8WpEvf2",4,10,112,0,797,25
"n9f8WpEvf2",3,17,94,0,818,22
"n9f8WpEvf2",6,13,120,0,466,0
"vJbd1jkwGP",5,17,99,0,491,0
"vJbd1jkwGP",4,15,144,0,655,23
"vJbd1jkwGP",6,4,101,30,646,20
"vJbd1jkwGP",3,16,149,0,574,25
"vJbd1jkwGP",5,11,106,0,715,33
"TLG8FFHjdp",6,12,124,30,691,28
"TLG8FFHjdp",3,18,162,0,472,32
"TLG8FFHjdp",6,14,137,0,687,34
"TLG8FFHjdp",6,13,62,0,532,15
"TLG8FFHjdp",4,8,112,0,784,27
"trBsmd5gnD",3,14,81,0,193,26
"trBsmd5gnD",4,8,103,0,450,41
"trBsmd5gnD",7,12,218,0,636,40
"trBsmd5gnD",4,12,137,0,361,32
"trBsmd5gnD",5,15,83,0,463,25
"N0jaLXj3WW",4,14,119,0,801,28
"N0jaLXj3WW",5,15,67,0,633,27
"N0jaLXj3WW",4,10,67,0,374,46
"N0jaLXj3WW",5,19,144,0,877,26
"N0jaLXj3WW",4,17,124,0,742,34
"nicbnk8RVK",5,17,112,0,366,22
"nicbnk8RVK",4,12,126,30,564,34
"nicbnk8RVK",6,11,83,0,570,0
"nicbnk8RVK",5,12,98,0,663,33
"nicbnk8RVK",6,12,64,0,710,29
"ZlYx74Deud",4,14,147,0,987,27
"ZlYx74Deud",7,12,149,0,370,40
"ZlYx74Deud",4,16,98,0,571,21
"ZlYx74Deud",7,12,131,0,599,0
"ZlYx74Deud",7,15,130,0,510,32
"68BT209h8P",4,10,180,0,747,0
